State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Georgia,3.8954E+11,4.0602E+11,4.1961E+11,4.1638E+11,4.0959E+11,4.1809E+11,4.3165E+11,4.4776E+11,4.6475E+11,4.9008E+11,5.2101E+11,5.4755E+11,5.7378E+11,6.0237E+11,6.3799E+11,6.2543E+11,6.9163E+11,7.557E+11
Hawaii,5.7369E+10,6.0847E+10,6.4164E+10,6.5678E+10,6.455E+10,6.6873E+10,6.9084E+10,7.1905E+10,7.4555E+10,7.6773E+10,8.123E+10,8.3914E+10,8.7217E+10,9.0331E+10,9.1913E+10,8.2536E+10,9.1096E+10,9.8219E+10
Idaho,4.8643E+10,5.1126E+10,5.3935E+10,5.6201E+10,5.4064E+10,5.5588E+10,5.6941E+10,5.8324E+10,6.1836E+10,6.4575E+10,6.59E+10,6.8837E+10,7.173E+10,7.7395E+10,8.2847E+10,8.5928E+10,9.6283E+10,1.0955E+11
Illinois,5.8981E+11,6.2424E+11,6.5015E+11,6.5466E+11,6.4986E+11,6.664E+11,6.9288E+11,7.264E+11,7.4112E+11,7.7136E+11,7.9993E+11,8.0704E+11,8.2491E+11,8.6566E+11,8.8954E+11,8.5694E+11,9.4567E+11,1.0333E+12
Indiana,2.4817E+11,2.596E+11,2.7351E+11,2.7554E+11,2.6333E+11,2.8256E+11,2.9136E+11,3.0051E+11,3.1214E+11,3.2796E+11,3.3195E+11,3.405E+11,3.526E+11,3.732E+11,3.8113E+11,3.7378E+11,4.1298E+11,4.5575E+11
Iowa,1.2319E+11,1.279E+11,1.3793E+11,1.3755E+11,1.3689E+11,1.4223E+11,1.4848E+11,1.5854E+11,1.622E+11,1.731E+11,1.803E+11,1.8101E+11,1.8456E+11,1.9152E+11,1.9571E+11,1.9698E+11,2.1686E+11,2.3111E+11
Kansas,1.0553E+11,1.1409E+11,1.2388E+11,1.286E+11,1.2535E+11,1.2859E+11,1.3636E+11,1.4182E+11,1.4448E+11,1.5018E+11,1.5496E+11,1.6045E+11,1.6518E+11,1.7234E+11,1.7656E+11,1.7758E+11,1.9138E+11,2.1067E+11
Kentucky,1.4501E+11,1.5341E+11,1.5716E+11,1.5988E+11,1.5748E+11,1.6641E+11,1.7159E+11,1.7814E+11,1.8452E+11,1.8798E+11,1.9341E+11,1.9648E+11,2.0187E+11,2.0856E+11,2.1849E+11,2.1687E+11,2.3718E+11,2.603E+11
Louisiana,1.9959E+11,2.0777E+11,2.0304E+11,2.1239E+11,2.0491E+11,2.2531E+11,2.2995E+11,2.3538E+11,2.3083E+11,2.4074E+11,2.3511E+11,2.2709E+11,2.4121E+11,2.5668E+11,2.5548E+11,2.3253E+11,2.5857E+11,2.8143E+11
Maine,4.7079E+10,4.9045E+10,5.0459E+10,5.0713E+10,5.1124E+10,5.2256E+10,5.2576E+10,5.368E+10,5.447E+10,5.6411E+10,5.8131E+10,6.0254E+10,6.2254E+10,6.5477E+10,6.869E+10,7.074E+10,7.7963E+10,8.4498E+10
Maryland,2.621E+11,2.7415E+11,2.8297E+11,2.954E+11,2.991E+11,3.1473E+11,3.2628E+11,3.3252E+11,3.4058E+11,3.5276E+11,3.6973E+11,3.8773E+11,4.0016E+11,4.1081E+11,4.2037E+11,4.1093E+11,4.4393E+11,4.7019E+11
Massachusetts,3.4199E+11,3.5927E+11,3.7852E+11,3.9078E+11,3.905E+11,4.1114E+11,4.2552E+11,4.4292E+11,4.5432E+11,4.7047E+11,4.9885E+11,5.1464E+11,5.3101E+11,5.6305E+11,5.899E+11,5.8515E+11,6.4133E+11,6.8839E+11
Michigan,4.0027E+11,4.0187E+11,4.0962E+11,3.9042E+11,3.6873E+11,3.9004E+11,4.0455E+11,4.2269E+11,4.3727E+11,4.5177E+11,4.7498E+11,4.9026E+11,5.0213E+11,5.2025E+11,5.3222E+11,5.2011E+11,5.7221E+11,6.207E+11
Minnesota,2.4538E+11,2.523E+11,2.6206E+11,2.6742E+11,2.6209E+11,2.7423E+11,2.8704E+11,2.9833E+11,3.1113E+11,3.2475E+11,3.3553E+11,3.4406E+11,3.5366E+11,3.7201E+11,3.8396E+11,3.7681E+11,4.1246E+11,4.465E+11
Mississippi,8.2449E+10,8.71E+10,9.1191E+10,9.4515E+10,9.1792E+10,9.3943E+10,9.6218E+10,1.0045E+11,1.0237E+11,1.043E+11,1.0591E+11,1.0729E+11,1.096E+11,1.122E+11,1.1423E+11,1.1512E+11,1.2731E+11,1.3874E+11
Missouri,2.2797E+11,2.3639E+11,2.4433E+11,2.5405E+11,2.5332E+11,2.5982E+11,2.6207E+11,2.7154E+11,2.8057E+11,2.8751E+11,2.9693E+11,3.0091E+11,3.08E+11,3.1815E+11,3.3249E+11,3.3025E+11,3.5857E+11,3.8993E+11
Montana,3.0876E+10,3.3166E+10,3.6233E+10,3.7225E+10,3.6188E+10,3.8336E+10,4.0995E+10,4.2341E+10,4.3688E+10,4.5177E+10,4.6604E+10,4.5491E+10,4.8534E+10,5.0917E+10,5.1925E+10,5.2356E+10,5.87E+10,6.5015E+10
Nebraska,7.4565E+10,7.8814E+10,8.3835E+10,8.5628E+10,8.687E+10,9.1562E+10,9.9921E+10,1.0273E+11,1.0726E+11,1.1195E+11,1.1651E+11,1.1815E+11,1.2173E+11,1.2702E+11,1.3187E+11,1.3458E+11,1.4629E+11,1.617E+11
Nevada,1.1617E+11,1.2585E+11,1.3162E+11,1.3061E+11,1.2213E+11,1.2467E+11,1.2768E+11,1.2931E+11,1.3209E+11,1.3601E+11,1.4512E+11,1.5184E+11,1.6065E+11,1.7026E+11,1.8219E+11,1.7256E+11,1.9449E+11,2.1592E+11
New Hampshire,5.6953E+10,6.0017E+10,6.1782E+10,6.17E+10,6.2523E+10,6.4844E+10,6.6153E+10,6.8498E+10,7.0476E+10,7.2995E+10,7.6478E+10,7.909E+10,8.0598E+10,8.387E+10,8.7338E+10,8.8338E+10,9.9673E+10,1.0541E+11
New Jersey,4.3574E+11,4.5759E+11,4.7487E+11,4.9623E+11,4.8246E+11,4.9276E+11,4.9597E+11,5.172E+11,5.3418E+11,5.4284E+11,5.6323E+11,5.755E+11,5.8742E+11,6.1411E+11,6.3763E+11,6.2009E+11,6.8295E+11,7.4542E+11
New Mexico,7.3911E+10,7.761E+10,8.08E+10,8.4688E+10,8.2462E+10,8.4612E+10,8.7063E+10,8.7925E+10,8.8757E+10,9.2186E+10,9.0274E+10,8.9769E+10,9.2274E+10,9.7268E+10,1.0203E+11,9.879E+10,1.0958E+11,1.2211E+11
New York,1.016E+12,1.0752E+12,1.1194E+12,1.1166E+12,1.1601E+12,1.2235E+12,1.2476E+12,1.3282E+12,1.3655E+12,1.4309E+12,1.4876E+12,1.5514E+12,1.6046E+12,1.6977E+12,1.7877E+12,1.7408E+12,1.9013E+12,2.0532E+12
North Carolina,3.5547E+11,3.8753E+11,4.0149E+11,4.1879E+11,4.1116E+11,4.2003E+11,4.3172E+11,4.451E+11,4.6227E+11,4.8319E+11,5.0893E+11,5.2603E+11,5.4852E+11,5.6784E+11,5.9452E+11,5.9892E+11,6.6212E+11,7.3007E+11
North Dakota,2.47E+10,2.6501E+10,2.9075E+10,3.1874E+10,3.2226E+10,3.5676E+10,4.1588E+10,5.1833E+10,5.4271E+10,5.9926E+10,5.5997E+10,5.1989E+10,5.5395E+10,5.9249E+10,5.9199E+10,5.4423E+10,6.356E+10,7.3267E+10
Ohio,4.6889E+11,4.8274E+11,4.9776E+11,4.9692E+11,4.8228E+11,5.0052E+11,5.2819E+11,5.4574E+11,5.6653E+11,5.9564E+11,6.1102E+11,6.2327E+11,6.4564E+11,6.6712E+11,6.9717E+11,6.8438E+11,7.5662E+11,8.2267E+11
Oklahoma,1.2508E+11,1.3744E+11,1.4575E+11,1.6076E+11,1.4663E+11,1.5429E+11,1.6624E+11,1.7487E+11,1.8269E+11,1.9663E+11,1.8682E+11,1.8124E+11,1.9055E+11,2.0271E+11,2.0419E+11,1.9006E+11,2.1534E+11,2.4053E+11
Oregon,1.4351E+11,1.5359E+11,1.5959E+11,1.6493E+11,1.5961E+11,1.6414E+11,1.7063E+11,1.7461E+11,1.7953E+11,1.8812E+11,2.0066E+11,2.1131E+11,2.226E+11,2.3711E+11,2.4723E+11,2.4797E+11,2.7219E+11,2.9913E+11
Pennsylvania,5.1173E+11,5.3127E+11,5.6583E+11,5.8802E+11,5.8214E+11,6.0474E+11,6.2482E+11,6.4793E+11,6.6857E+11,6.9414E+11,7.142E+11,7.2656E+11,7.4644E+11,7.7398E+11,7.9989E+11,7.7161E+11,8.445E+11,9.2309E+11
Rhode Island,4.4374E+10,4.7204E+10,4.7341E+10,4.7278E+10,4.7702E+10,4.9468E+10,5.0206E+10,5.1583E+10,5.3034E+10,5.456E+10,5.6391E+10,5.7354E+10,5.8085E+10,5.9291E+10,6.1643E+10,6.0771E+10,6.6571E+10,7.1402E+10
South Carolina,1.454E+11,1.5365E+11,1.6275E+11,1.6389E+11,1.6181E+11,1.6586E+11,1.7208E+11,1.7762E+11,1.8501E+11,1.9435E+11,2.0582E+11,2.1512E+11,2.2327E+11,2.3325E+11,2.4599E+11,2.4536E+11,2.698E+11,2.9588E+11
South Dakota,3.0997E+10,3.2365E+10,3.5073E+10,3.6603E+10,3.6433E+10,3.7853E+10,4.1892E+10,4.3902E+10,4.5361E+10,4.6785E+10,4.807E+10,4.9151E+10,5.0233E+10,5.2299E+10,5.4001E+10,5.5681E+10,6.1685E+10,6.7571E+10
Tennessee,2.3163E+11,2.4358E+11,2.4869E+11,2.5424E+11,2.5233E+11,2.5778E+11,2.6981E+11,2.8634E+11,2.9586E+11,3.0615E+11,3.2529E+11,3.3641E+11,3.5084E+11,3.6306E+11,3.8013E+11,3.7901E+11,4.2713E+11,4.7576E+11
Texas,9.9525E+11,1.1032E+12,1.1911E+12,1.2443E+12,1.1696E+12,1.246E+12,1.3413E+12,1.4212E+12,1.5152E+12,1.5793E+12,1.5735E+12,1.579E+12,1.6732E+12,1.8094E+12,1.8588E+12,1.7899E+12,2.0518E+12,2.356E+12
Utah,9.5355E+10,1.0654E+11,1.1481E+11,1.1718E+11,1.1399E+11,1.1867E+11,1.2557E+11,1.2951E+11,1.3545E+11,1.4215E+11,1.4915E+11,1.5783E+11,1.6865E+11,1.8446E+11,1.9654E+11,2.0213E+11,2.2534E+11,2.4818E+11
Vermont,2.3609E+10,2.4332E+10,2.4798E+10,2.5999E+10,2.6099E+10,2.7407E+10,2.8419E+10,2.9241E+10,2.929E+10,3.0099E+10,3.0933E+10,3.1661E+10,3.2266E+10,3.3067E+10,3.4231E+10,3.4019E+10,3.7104E+10,4.0617E+10
Virginia,3.5807E+11,3.7624E+11,3.917E+11,4.0463E+11,4.1097E+11,4.2699E+11,4.3518E+11,4.4597E+11,4.5764E+11,4.6518E+11,4.8379E+11,4.9602E+11,5.1111E+11,5.3291E+11,5.5776E+11,5.5699E+11,6.0496E+11,6.4939E+11
Washington,2.9368E+11,3.1427E+11,3.4202E+11,3.5479E+11,3.5125E+11,3.655E+11,3.7957E+11,4.0053E+11,4.1909E+11,4.4065E+11,4.6669E+11,4.8728E+11,5.1941E+11,5.6431E+11,5.9523E+11,6.1297E+11,6.7749E+11,7.2551E+11
West Virginia,5.3493E+10,5.701E+10,5.9274E+10,6.2695E+10,6.3601E+10,6.5999E+10,6.9234E+10,7.0322E+10,7.1482E+10,7.2648E+10,7.1319E+10,7.0924E+10,7.482E+10,7.9193E+10,7.9326E+10,7.6548E+10,8.5434E+10,9.5588E+10
Wisconsin,2.273E+11,2.3757E+11,2.4584E+11,2.4681E+11,2.4721E+11,2.5643E+11,2.6636E+11,2.7711E+11,2.8427E+11,2.957E+11,3.0751E+11,3.1407E+11,3.1831E+11,3.325E+11,3.4524E+11,3.4059E+11,3.6861E+11,4.0179E+11
Wyoming,2.7576E+10,3.274E+10,3.6951E+10,4.2819E+10,3.6252E+10,3.7681E+10,3.9751E+10,3.8855E+10,3.929E+10,4.0311E+10,3.8427E+10,3.5879E+10,3.6981E+10,3.9172E+10,3.9428E+10,3.633E+10,4.151E+10,4.7433E+10
